Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0131678212
2	4	0	0.0263356423
3	5	0	0.0395034635
4	6	0	0.0526712847
5	6	0	0.0658391058
6	7	0	0.079006927
7	7	0	0.0921747482
8	8	0	0.105342569
9	9	0	0.118510391
10	9	0	0.131678212
11	10	0	0.144846033
12	11	0	0.158013854
13	11	0	0.171181675
14	12	0	0.184349496
15	13	0	0.197517318
16	13	0	0.210685139
17	14	0	0.22385296
18	14	0	0.237020781
19	15	0	0.250188602
20	16	0	0.263356423
21	16	0	0.276524245
22	17	0	0.289692066
23	18	0	0.302859887
24	18	0	0.316027708
25	19	0	0.329195529
26	20	0	0.34236335
27	20	0	0.355531172
28	21	0	0.368698993
29	21	0	0.381866814
30	22	0	0.395034635
31	23	0	0.408202456
32	23	0	0.421370277
33	24	0	0.434538099
34	25	0	0.44770592
35	25	0	0.460873741
36	26	0	0.474041562
37	27	0	0.487209383
38	27	0	0.500377204
39	28	0	0.513545026
40	28	0	0.526712847
41	29	0	0.539880668
42	30	0	0.553048489
43	30	0	0.56621631
44	31	0	0.579384131
45	32	0	0.592551953
46	33	0	0.605719774
47	33	0	0.618887595
48	34	0	0.632055416
49	35	0	0.645223237
50	35	0	0.658391058
51	36	0	0.67155888
52	36	0	0.684726701
53	37	0	0.697894522
54	38	0	0.711062343
55	38	0	0.724230164
56	39	0	0.737397985
57	40	0	0.750565807
58	40	0	0.763733628
59	41	0	0.776901449
60	41	0	0.79006927
61	42	0	0.803237091
62	43	0	0.816404912
63	43	0	0.829572734
64	44	0	0.842740555
65	44	0	0.855908376
66	45	0	0.869076197
67	46	0	0.882244018
68	46	0	0.895411839
69	47	0	0.908579661
70	48	0	0.921747482
71	48	0	0.934915303
72	49	0	0.948083124
73	50	0	0.961250945
74	50	0	0.974418766
75	51	0	0.987586588
76	52	0	1.00075441
77	52	0	1.01392223
78	53	0	1.02709005
79	53	0	1.04025787
80	54	0	1.05342569
81	55	0	1.06659351
82	55	0	1.07976134
83	56	0	1.09292916
84	56	0	1.10609698
85	57	0	1.1192648
86	58	0	1.13243262
87	58	0	1.14560044
88	59	0	1.15876826
89	60	0	1.17193608
90	60	0	1.18510391
91	61	0	1.19827173
92	61	0	1.21143955
93	62	0	1.22460737
94	63	0	1.23777519
95	63	0	1.25094301
96	64	0	1.26411083
