Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0110939717
2	5	0	0.0221879433
3	6	0	0.033281915
4	6	0	0.0443758867
5	7	0	0.0554698583
6	8	0	0.06656383
7	9	0	0.0776578017
8	10	0	0.0887517733
9	11	0	0.099845745
10	11	0	0.110939717
11	12	0	0.122033688
12	13	0	0.13312766
13	14	0	0.144221632
14	14	0	0.155315603
15	15	0	0.166409575
16	16	0	0.177503547
17	16	0	0.188597518
18	17	0	0.19969149
19	18	0	0.210785462
20	19	0	0.221879433
21	19	0	0.232973405
22	20	0	0.244067377
23	21	0	0.255161348
24	21	0	0.26625532
25	22	0	0.277349292
26	23	0	0.288443263
27	24	0	0.299537235
28	24	0	0.310631207
29	25	0	0.321725178
30	26	0	0.33281915
31	26	0	0.343913122
32	27	0	0.355007093
33	28	0	0.366101065
34	29	0	0.377195037
35	29	0	0.388289008
36	30	0	0.39938298
37	31	0	0.410476952
38	32	0	0.421570923
39	32	0	0.432664895
40	33	0	0.443758867
41	34	0	0.454852838
42	35	0	0.46594681
43	35	0	0.477040782
44	36	0	0.488134753
45	37	0	0.499228725
46	38	0	0.510322697
47	39	0	0.521416668
48	40	0	0.53251064
49	40	0	0.543604612
50	41	0	0.554698583
51	42	0	0.565792555
52	43	0	0.576886527
53	43	0	0.587980498
54	44	0	0.59907447
55	45	0	0.610168442
56	46	0	0.621262413
57	46	0	0.632356385
58	47	0	0.643450357
59	48	0	0.654544328
60	48	0	0.6656383
61	49	0	0.676732272
62	50	0	0.687826243
63	51	0	0.698920215
64	51	0	0.710014187
65	52	0	0.721108158
66	53	0	0.73220213
67	53	0	0.743296102
68	54	0	0.754390073
69	55	0	0.765484045
70	56	0	0.776578017
71	57	0	0.787671988
72	57	0	0.79876596
73	58	0	0.809859932
74	59	0	0.820953903
75	59	0	0.832047875
76	60	0	0.843141847
77	61	0	0.854235818
78	62	0	0.86532979
79	62	0	0.876423762
80	63	0	0.887517733
81	64	0	0.898611705
82	64	0	0.909705677
83	65	0	0.920799648
84	66	0	0.93189362
85	66	0	0.942987592
86	67	0	0.954081563
87	68	0	0.965175535
88	68	0	0.976269507
89	69	0	0.987363478
90	70	0	0.99845745
91	70	0	1.00955142
92	71	0	1.02064539
93	72	0	1.03173936
94	73	0	1.04283334
95	73	0	1.05392731
96	74	0	1.06502128
97	75	0	1.07611525
98	75	0	1.08720922
99	76	0	1.09830319
100	77	0	1.10939717
101	80	0	1.12049114
102	81	0	1.13158511
103	81	0	1.14267908
104	82	0	1.15377305
105	83	0	1.16486702
106	83	0	1.175961
107	84	0	1.18705497
108	85	0	1.19814894
109	85	0	1.20924291
110	86	0	1.22033688
111	87	0	1.23143085
112	87	0	1.24252483
113	88	0	1.2536188
114	89	0	1.26471277
115	89	0	1.27580674
116	90	0	1.28690071
117	91	0	1.29799468
118	91	0	1.30908866
119	92	0	1.32018263
120	93	0	1.3312766
121	93	0	1.34237057
