Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0110939717	132144.288	132144.288	132144.288	132144.288	0	0	0	0	65557.7	0	0	3
2	5	0	0.0221879433	103117.385	117630.837	103117.385	132144.288	14513.4515	0	0	0	6118.94	0	0	3
3	6	0	0.033281915	104440.785	113234.153	103117.385	132144.288	18910.1354	0	0	0	7540.11	0	0	3
4	6	0	0.0443758867	103463.27	110791.432	103117.385	132144.288	21352.8562	0	0	0	5567.99	0	0	3
5	7	0	0.0554698583	103346.018	109302.349	103117.385	132144.288	22841.9389	0	0	0	5100.16	0	0	3
6	8	0	0.06656383	102917.35	108238.183	102917.35	132144.288	23906.1055	0	0	0	4021.64	0	0	3
7	9	0	0.0776578017	102606.566	107433.666	102606.566	132144.288	24710.6223	0	0	0	3231.63	0	0	3
8	10	0	0.0887517733	102187.332	106777.874	102187.332	132144.288	25366.414	0	0	0	2308.19	0	0	3
9	11	0	0.099845745	101937.058	106240.006	101937.058	132144.288	25904.2825	0	0	0	1732.17	0	0	3
10	11	0	0.110939717	101825.374	105798.542	101825.374	132144.288	26345.7457	0	0	0	1456.43	0	0	3
11	12	0	0.122033688	101759.222	105431.332	101759.222	132144.288	26712.9566	0	0	0	1267.11	0	0	3
12	13	0	0.13312766	101752.526	105124.764	101752.526	132144.288	27019.5238	0	0	0	1222.73	0	0	3
13	14	0	0.144221632	101752.487	104865.358	101752.487	132144.288	27278.9297	0	0	0	1194.76	0	0	3
14	14	0	0.155315603	101771.924	104644.399	101752.487	132144.288	27499.8893	0	0	0	1215.39	0	0	3
15	15	0	0.166409575	101800.25	104454.789	101752.487	132144.288	27689.4992	0	0	0	1249.19	0	0	3
16	16	0	0.177503547	101816.557	104289.899	101752.487	132144.288	27854.3887	0	0	0	1247.04	0	0	3
17	16	0	0.188597518	101830.76	104145.244	101752.487	132144.288	27999.044	0	0	0	1254.2	0	0	3
