Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0110939717	1.99343835	1.99343835	1.99343835	1.99343835	0	0	0	0	3.54608	0	0	3
2	5	0	0.0221879433	1.99343774	1.99343804	1.99343774	1.99343835	3.08114809e-07	0	0	0	3.52121	0	0	3
3	6	0	0.033281915	1.99457393	1.99381667	1.99343774	1.99457393	0.000378627932	0	0	0	3.49781	0	0	3
4	6	0	0.0443758867	1.99528179	1.99418295	1.99343774	1.99528179	0.00074490706	0	0	0	3.47852	0	0	3
5	7	0	0.0554698583	1.99608129	1.99456262	1.99343774	1.99608129	0.00112457525	0	0	0	3.46239	0	0	3
6	8	0	0.06656383	1.99719936	1.99500208	1.99343774	1.99719936	0.00156403196	0	0	0	3.44277	0	0	3
7	9	0	0.0776578017	1.9983684	1.99548298	1.99343774	1.9983684	0.00204493482	0	0	0	3.42727	0	0	3
8	10	0	0.0887517733	1.99907821	1.99593238	1.99343774	1.99907821	0.0024943383	0	0	0	3.42259	0	0	3
9	11	0	0.099845745	1.99942306	1.99632024	1.99343774	1.99942306	0.00288219093	0	0	0	3.41403	0	0	3
10	11	0	0.110939717	1.99958931	1.99664714	1.99343774	1.99958931	0.00320909823	0	0	0	3.40928	0	0	3
11	12	0	0.122033688	1.99965566	1.99692064	1.99343774	1.99965566	0.00348260003	0	0	0	3.40575	0	0	3
12	13	0	0.13312766	1.99966576	1.9971494	1.99343774	1.99966576	0.00371135922	0	0	0	3.40116	0	0	3
13	14	0	0.144221632	1.99963529	1.99734063	1.99343774	1.99966576	0.00390258142	0	0	0	3.39336	0	0	3
14	14	0	0.155315603	1.99960514	1.99750238	1.99343774	1.99966576	0.00406433232	0	0	0	3.3834	0	0	3
15	15	0	0.166409575	1.99960647	1.99764265	1.99343774	1.99966576	0.00420460514	0	0	0	3.37024	0	0	3
16	16	0	0.177503547	1.99963697	1.99776729	1.99343774	1.99966576	0.00432925017	0	0	0	3.35319	0	0	3
17	16	0	0.188597518	1.99968249	1.99787995	1.99343774	1.99968249	0.00444190846	0	0	0	3.33975	0	0	3
18	17	0	0.19969149	1.9997344	1.99798298	1.99343774	1.9997344	0.00454493308	0	0	0	3.32565	0	0	3
19	18	0	0.210785462	1.99978061	1.99807759	1.99343774	1.99978061	0.00463954546	0	0	0	3.31003	0	0	3
20	19	0	0.221879433	1.99982098	1.99816476	1.99343774	1.99982098	0.00472671474	0	0	0	3.2931	0	0	3
21	19	0	0.232973405	1.99986603	1.99824577	1.99343774	1.99986603	0.00480772783	0	0	0	3.26732	0	0	3
22	20	0	0.244067377	1.99989582	1.99832077	1.99343774	1.99989582	0.0048827301	0	0	0	3.24103	0	0	3
23	21	0	0.255161348	1.99992148	1.99839037	1.99343774	1.99992148	0.00495232611	0	0	0	3.21481	0	0	3
24	21	0	0.26625532	1.99994102	1.99845498	1.99343774	1.99994102	0.00501693629	0	0	0	3.18824	0	0	3
25	22	0	0.277349292	1.99995391	1.99851494	1.99343774	1.99995391	0.00507689356	0	0	0	3.16134	0	0	3
