Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0123955212	2.46305999e-05	2.46305999e-05	2.46305999e-05	2.46305999e-05	0	0	0	0	0	0	0	3
2	4	0	0.0247910424	1.00510274e-07	1.23655551e-05	1.00510274e-07	2.46305999e-05	1.22650448e-05	0	0	0	0	0	0	3
3	5	0	0.0371865637	-9.0981564e-08	8.21337619e-06	-9.0981564e-08	2.46305999e-05	1.64172237e-05	0	0	0	0	0	0	3
4	6	0	0.0495820849	6.25569908e-08	6.17567139e-06	-9.0981564e-08	2.46305999e-05	1.84549285e-05	0	0	0	0	0	0	3
5	6	0	0.0619776061	-1.8539167e-08	4.93682928e-06	-9.0981564e-08	2.46305999e-05	1.96937706e-05	0	0	0	0	0	0	3
6	7	0	0.0743731273	-2.32906353e-08	4.11014263e-06	-9.0981564e-08	2.46305999e-05	2.05204572e-05	0	0	0	0	0	0	3
7	8	0	0.0867686485	-2.40841419e-08	3.5195388e-06	-9.0981564e-08	2.46305999e-05	2.11110611e-05	0	0	0	0	0	0	3
8	8	0	0.0991641697	-3.57387187e-08	3.07512911e-06	-9.0981564e-08	2.46305999e-05	2.15554707e-05	0	0	0	0	0	0	3
9	9	0	0.111559691	-3.12545224e-08	2.72997537e-06	-9.0981564e-08	2.46305999e-05	2.19006245e-05	0	0	0	0	0	0	3
10	9	0	0.123955212	-2.08345424e-08	2.45489438e-06	-9.0981564e-08	2.46305999e-05	2.21757055e-05	0	0	0	0	0	0	3
11	10	0	0.136350733	-4.85067949e-08	2.22731246e-06	-9.0981564e-08	2.46305999e-05	2.24032874e-05	0	0	0	0	0	0	3
12	11	0	0.148746255	2.15627379e-07	2.05967203e-06	-9.0981564e-08	2.46305999e-05	2.25709278e-05	0	0	0	0	0	0	3
13	11	0	0.161141776	8.07438137e-07	1.96334635e-06	-9.0981564e-08	2.46305999e-05	2.26672535e-05	0	0	0	0	0	0	3
14	12	0	0.173537297	6.31871742e-07	1.86824102e-06	-9.0981564e-08	2.46305999e-05	2.27623588e-05	0	0	0	0	0	0	3
15	12	0	0.185932818	2.55516578e-07	1.76072606e-06	-9.0981564e-08	2.46305999e-05	2.28698738e-05	0	0	0	0	0	0	3
16	13	0	0.198328339	-3.21441379e-08	1.64867167e-06	-9.0981564e-08	2.46305999e-05	2.29819282e-05	0	0	0	0	0	0	3
17	14	0	0.210723861	-1.10663049e-06	1.48659507e-06	-1.10663049e-06	2.46305999e-05	2.31440048e-05	0	0	0	0	0	0	3
18	14	0	0.223119382	-1.39795666e-06	1.3263422e-06	-1.39795666e-06	2.46305999e-05	2.33042577e-05	0	0	0	0	0	0	3
19	15	0	0.235514903	-1.59763191e-06	1.17244882e-06	-1.59763191e-06	2.46305999e-05	2.3458151e-05	0	0	0	0	0	0	3
20	15	0	0.247910424	-1.80664111e-06	1.02349433e-06	-1.80664111e-06	2.46305999e-05	2.36071055e-05	0	0	0	0	0	0	3
21	16	0	0.260305946	-1.7353751e-06	8.92119594e-07	-1.80664111e-06	2.46305999e-05	2.37384803e-05	0	0	0	0	0	0	3
22	17	0	0.272701467	-2.9411507e-06	7.17880035e-07	-2.9411507e-06	2.46305999e-05	2.39127198e-05	0	0	0	0	0	0	3
23	17	0	0.285096988	-2.72808637e-06	5.68055409e-07	-2.9411507e-06	2.46305999e-05	2.40625444e-05	0	0	0	0	0	0	3
24	18	0	0.297492509	-2.93844248e-06	4.2195133e-07	-2.9411507e-06	2.46305999e-05	2.42086485e-05	0	0	0	0	0	0	3
25	19	0	0.30988803	-1.45287833e-06	3.46958144e-07	-2.9411507e-06	2.46305999e-05	2.42836417e-05	0	0	0	0	0	0	3
26	19	0	0.322283552	-1.34681372e-07	3.28433547e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
27	20	0	0.334679073	2.48098753e-06	4.08157768e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
28	20	0	0.347074594	2.63423107e-06	4.87660386e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
29	21	0	0.359470115	3.87253972e-06	6.04380363e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
30	21	0	0.371865637	3.0521745e-06	6.85973501e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
31	22	0	0.384261158	2.19447714e-06	7.34634909e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
32	23	0	0.396656679	1.50816497e-06	7.58807723e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
33	23	0	0.4090522	1.14580638e-06	7.70534955e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
34	24	0	0.421447721	1.42043696e-07	7.52049918e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
35	24	0	0.433843243	-4.13855604e-07	7.18738332e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
36	25	0	0.446238764	-5.82777046e-07	6.82585127e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
37	26	0	0.458634285	-5.19242294e-07	6.50103305e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
38	26	0	0.471029806	-2.69872071e-07	6.25893427e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
39	27	0	0.483425327	-7.86239859e-08	6.07828877e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
40	27	0	0.495820849	-1.24769964e-07	5.89513906e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
41	28	0	0.50821637	4.30782083e-08	5.76186206e-07	-2.9411507e-06	2.46305999e-05	2.43021663e-05	0	0	0	0	0	0	3
42	29	0	0.520611891	3.93197491e-07	-1.49699487e-08	-2.9411507e-06	3.87253972e-06	6.81369042e-06	0	0	0	0	0	0	3
