Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0123955212	3.4442809	3.4442809	3.4442809	3.4442809	0	0	0	0	3.44428	0	0	3
2	4	0	0.0247910424	3.41492503	3.42960296	3.41492503	3.4442809	0.014677933	0	0	0	3.41493	0	0	3
3	5	0	0.0371865637	3.38796095	3.41572229	3.38796095	3.4442809	0.028558606	0	0	0	3.38796	0	0	3
4	6	0	0.0495820849	3.37162229	3.40469729	3.37162229	3.4442809	0.0395836061	0	0	0	3.37162	0	0	3
5	6	0	0.0619776061	3.36349466	3.39645677	3.36349466	3.4442809	0.0478241313	0	0	0	3.36349	0	0	3
6	7	0	0.0743731273	3.34656648	3.38814172	3.34656648	3.4442809	0.0561391794	0	0	0	3.34657	0	0	3
7	8	0	0.0867686485	3.3183402	3.37817007	3.3183402	3.4442809	0.0661108242	0	0	0	3.31834	0	0	3
8	8	0	0.0991641697	3.30569784	3.36911104	3.30569784	3.4442809	0.0751698537	0	0	0	3.3057	0	0	3
9	9	0	0.111559691	3.28905851	3.36021632	3.28905851	3.4442809	0.0840645797	0	0	0	3.28906	0	0	3
10	9	0	0.123955212	3.28055609	3.35225029	3.28055609	3.4442809	0.0920306023	0	0	0	3.28056	0	0	3
11	10	0	0.136350733	3.26308711	3.34414455	3.26308711	3.4442809	0.100136347	0	0	0	3.26309	0	0	3
12	11	0	0.148746255	3.24998945	3.33629829	3.24998945	3.4442809	0.107982605	0	0	0	3.24999	0	0	3
13	11	0	0.161141776	3.23341025	3.32838383	3.23341025	3.4442809	0.11589707	0	0	0	3.23341	0	0	3
14	12	0	0.173537297	3.21936721	3.32059693	3.21936721	3.4442809	0.123683971	0	0	0	3.21937	0	0	3
15	12	0	0.185932818	3.20974692	3.31320693	3.20974692	3.4442809	0.131073972	0	0	0	3.20975	0	0	3
16	13	0	0.198328339	3.19574372	3.30586547	3.19574372	3.4442809	0.138415422	0	0	0	3.19574	0	0	3
17	14	0	0.210723861	3.18148529	3.29854899	3.18148529	3.4442809	0.145731904	0	0	0	3.18149	0	0	3
18	14	0	0.223119382	3.16710846	3.29124674	3.16710846	3.4442809	0.153034156	0	0	0	3.16711	0	0	3
19	15	0	0.235514903	3.15247155	3.28394278	3.15247155	3.4442809	0.160338113	0	0	0	3.15247	0	0	3
20	15	0	0.247910424	3.13800988	3.27664614	3.13800988	3.4442809	0.167634758	0	0	0	3.13801	0	0	3
21	16	0	0.260305946	3.11376514	3.2688899	3.11376514	3.4442809	0.175390996	0	0	0	3.11377	0	0	3
22	17	0	0.272701467	3.09373624	3.26092837	3.09373624	3.4442809	0.183352527	0	0	0	3.09374	0	0	3
23	17	0	0.285096988	3.05598408	3.25201775	3.05598408	3.4442809	0.192263148	0	0	0	3.05598	0	0	3
24	18	0	0.297492509	3.00632603	3.24178059	3.00632603	3.4442809	0.202500303	0	0	0	3.00633	0	0	3
25	19	0	0.30988803	2.95536005	3.23032377	2.95536005	3.4442809	0.213957124	0	0	0	2.95536	0	0	3
26	19	0	0.322283552	2.88513219	3.21704717	2.88513219	3.4442809	0.227233724	0	0	0	2.88513	0	0	3
27	20	0	0.334679073	2.82205113	3.20241769	2.82205113	3.4442809	0.241863207	0	0	0	2.82205	0	0	3
28	20	0	0.347074594	2.76647659	3.18684837	2.76647659	3.4442809	0.257432532	0	0	0	2.76648	0	0	3
29	21	0	0.359470115	2.71781984	3.17067497	2.71781984	3.4442809	0.273605929	0	0	0	2.71782	0	0	3
30	21	0	0.371865637	2.68705617	3.15455434	2.68705617	3.4442809	0.289726556	0	0	0	2.68706	0	0	3
31	22	0	0.384261158	2.64752731	3.13819863	2.64752731	3.4442809	0.306082267	0	0	0	2.64753	0	0	3
32	23	0	0.396656679	2.61282549	3.12178072	2.61282549	3.4442809	0.322500178	0	0	0	2.61283	0	0	3
33	23	0	0.4090522	2.57499254	3.10521138	2.57499254	3.4442809	0.339069516	0	0	0	2.57499	0	0	3
34	24	0	0.421447721	2.53652268	3.08848524	2.53652268	3.4442809	0.355795655	0	0	0	2.53652	0	0	3
35	24	0	0.433843243	2.50123836	3.07170676	2.50123836	3.4442809	0.372574137	0	0	0	2.50124	0	0	3
36	25	0	0.446238764	2.46188933	3.05476739	2.46188933	3.4442809	0.38951351	0	0	0	2.46189	0	0	3
37	26	0	0.458634285	2.43279664	3.03795737	2.43279664	3.4442809	0.40632353	0	0	0	2.4328	0	0	3
38	26	0	0.471029806	2.41091135	3.02145616	2.41091135	3.4442809	0.422824741	0	0	0	2.41091	0	0	3
39	27	0	0.483425327	2.39437492	3.00537715	2.39437492	3.4442809	0.438903747	0	0	0	2.39437	0	0	3
40	27	0	0.495820849	2.38193207	2.98979102	2.38193207	3.4442809	0.454489874	0	0	0	2.38193	0	0	3
41	28	0	0.50821637	2.37035557	2.97468284	2.37035557	3.4442809	0.469598056	0	0	0	2.37036	0	0	3
42	29	0	0.520611891	2.36300306	2.94831021	2.36300306	3.41492503	0.481292753	0	0	0	2.363	0	0	3
43	29	0	0.533007412	2.35711754	2.92251003	2.35711754	3.38796095	0.493212263	0	0	0	2.35712	0	0	3
44	30	0	0.545402934	2.35378045	2.89728611	2.35378045	3.37162229	0.507411177	0	0	0	2.35378	0	0	3
45	31	0	0.557798455	2.35137842	2.87240212	2.35137842	3.36349466	0.524054649	0	0	0	2.35138	0	0	3
46	31	0	0.570193976	2.34972034	2.84767591	2.34972034	3.34656648	0.540465804	0	0	0	2.34972	0	0	3
47	32	0	0.582589497	2.34891761	2.82334301	2.34891761	3.3183402	0.554827059	0	0	0	2.34892	0	0	3
48	32	0	0.594985018	2.34882077	2.7996962	2.34882077	3.30569784	0.569414845	0	0	0	2.34882	0	0	3
49	33	0	0.60738054	2.34963575	2.77637761	2.34882077	3.28905851	0.583838706	0	0	0	2.34964	0	0	3
50	33	0	0.619776061	2.35138444	2.75350751	2.34882077	3.28055609	0.598742783	0	0	0	2.35138	0	0	3
51	34	0	0.632171582	2.35384795	2.73090487	2.34882077	3.26308711	0.613239676	0	0	0	2.35385	0	0	3
52	35	0	0.644567103	2.35705167	2.70880645	2.34882077	3.24998945	0.627491843	0	0	0	2.35705	0	0	3
53	35	0	0.656962624	2.36055089	2.68711283	2.34882077	3.23341025	0.641271002	0	0	0	2.36055	0	0	3
54	36	0	0.669358146	2.36428202	2.66591458	2.34882077	3.21936721	0.65468235	0	0	0	2.36428	0	0	3
55	36	0	0.681753667	2.36804421	2.6451506	2.34882077	3.20974692	0.668056325	0	0	0	2.36804	0	0	3
56	37	0	0.694149188	2.37160356	2.62470808	2.34882077	3.19574372	0.681157395	0	0	0	2.3716	0	0	3
57	37	0	0.706544709	2.37486206	2.60468658	2.34882077	3.18148529	0.693862417	0	0	0	2.37486	0	0	3
58	38	0	0.718940231	2.37782891	2.5850852	2.34882077	3.16710846	0.706161541	0	0	0	2.37783	0	0	3
59	39	0	0.731335752	2.38033611	2.56589563	2.34882077	3.15247155	0.718047153	0	0	0	2.38034	0	0	3
60	39	0	0.743731273	2.38255985	2.5471173	2.34882077	3.13800988	0.729528842	0	0	0	2.38256	0	0	3
61	40	0	0.756126794	2.3843372	2.52873504	2.34882077	3.11376514	0.740154864	0	0	0	2.38434	0	0	3
62	41	0	0.768522315	2.38590732	2.51098241	2.34882077	3.09373624	0.744915472	0	0	0	2.38591	0	0	3
63	41	0	0.780917837	2.3870931	2.49374721	2.34882077	3.05598408	0.707163317	0	0	0	2.38709	0	0	3
64	42	0	0.793313358	2.38811702	2.47745777	2.34882077	3.00632603	0.657505259	0	0	0	2.38812	0	0	3
65	42	0	0.805708879	2.38890992	2.46239884	2.34882077	2.95536005	0.606539286	0	0	0	2.38891	0	0	3
66	43	0	0.8181044	2.38957233	2.44859914	2.34882077	2.88513219	0.536311427	0	0	0	2.38957	0	0	3
67	44	0	0.830499922	2.39008827	2.4365249	2.34882077	2.82205113	0.473230365	0	0	0	2.39009	0	0	3
68	44	0	0.842895443	2.39053559	2.42600013	2.34882077	2.76647659	0.41765582	0	0	0	2.39054	0	0	3
69	45	0	0.855290964	2.39088147	2.41683927	2.34882077	2.71781984	0.368999073	0	0	0	2.39088	0	0	3
70	45	0	0.867686485	2.3911968	2.40887285	2.34882077	2.68705617	0.3382354	0	0	0	2.3912	0	0	3
71	46	0	0.880082006	2.39144403	2.4016628	2.34882077	2.64752731	0.298706539	0	0	0	2.39144	0	0	3
72	47	0	0.892477528	2.39168427	2.39542273	2.34882077	2.61282549	0.26400472	0	0	0	2.39168	0	0	3
73	47	0	0.904873049	2.39188642	2.39003397	2.34882077	2.57499254	0.226171771	0	0	0	2.39189	0	0	3
74	48	0	0.91726857	2.39210023	2.38557318	2.34882077	2.53652268	0.187701909	0	0	0	2.3921	0	0	3
75	49	0	0.929664091	2.39228578	2.38205521	2.34882077	2.50123836	0.152417594	0	0	0	2.39229	0	0	3
76	49	0	0.942059612	2.3924712	2.37940235	2.34882077	2.46188933	0.113068566	0	0	0	2.39247	0	0	3
77	50	0	0.954455134	2.39265953	2.37771382	2.34882077	2.43279664	0.083975871	0	0	0	2.39266	0	0	3
78	50	0	0.966850655	2.39282037	2.37673879	2.34882077	2.41091135	0.0620905859	0	0	0	2.39282	0	0	3
79	51	0	0.979246176	2.39302591	2.37630256	2.34882077	2.39437492	0.0455541533	0	0	0	2.39303	0	0	3
80	52	0	0.991641697	2.39317671	2.37627333	2.34882077	2.39317671	0.0443559457	0	0	0	2.39318	0	0	3
81	52	0	1.00403722	2.39334754	2.37655176	2.34882077	2.39334754	0.0445267712	0.0311742054	0	70	2.39335	0	0	3
82	53	0	1.01643274	2.39347387	2.37711562	2.34882077	2.39347387	0.0446531055	0.0311742054	0	69.8	2.39347	0	0	3
83	53	0	1.02882826	2.39362998	2.37786262	2.34882077	2.39362998	0.0448092162	0.0311742054	0	69.5	2.39363	0	0	3
84	54	0	1.04122378	2.39372678	2.37875553	2.34882077	2.39372678	0.0449060143	0.0311742054	0	69.4	2.39373	0	0	3
85	54	0	1.0536193	2.39387615	2.37973347	2.34882077	2.39387615	0.0450553821	0.0311742054	0	69.1	2.39388	0	0	3
86	55	0	1.06601482	2.39397587	2.38077243	2.34882077	2.39397587	0.0451551054	0.0311742054	0	69	2.39398	0	0	3
87	56	0	1.07841035	2.39411327	2.38185519	2.34882077	2.39411327	0.0452924983	0.0311742054	0	68.8	2.39411	0	0	3
88	56	0	1.09080587	2.3942041	2.38295974	2.34882077	2.3942041	0.0453833325	0.0311742054	0	68.6	2.3942	0	0	3
89	57	0	1.10320139	2.39433522	2.38406985	2.34963575	2.39433522	0.0446994746	0.0311742054	0	69.7	2.39434	0	0	3
90	57	0	1.11559691	2.3944162	2.38516205	2.35138444	2.3944162	0.0430317646	0.0311742054	0	72.4	2.39442	0	0	3
91	58	0	1.12799243	2.39454079	2.38621465	2.35384795	2.39454079	0.0406928492	0.0311742054	0	76.6	2.39454	0	0	3
92	58	0	1.14038795	2.39461859	2.38720905	2.35705167	2.39461859	0.0375669164	0.0311742054	0	82.9	2.39462	0	0	3
93	59	0	1.15278347	2.39472993	2.38812803	2.36055089	2.39472993	0.0341790364	0.0311742054	0	91.2	2.39473	0	0	3
94	60	0	1.16517899	2.39480153	2.38896342	2.36428202	2.39480153	0.0305195091	0.0311742054	0	100	2.3948	0	0	3
95	60	0	1.17757452	2.39491555	2.38971057	2.36804421	2.39491555	0.0268713366	0.0311742054	0	100	2.39492	0	0	3
96	61	0	1.18997004	2.3949731	2.39036738	2.37160356	2.3949731	0.0233695379	0.0311742054	0	100	2.39497	0	0	3
97	61	0	1.20236556	2.39509047	2.39094023	2.37486206	2.39509047	0.020228415	0.0311742054	0	100	2.39509	0	0	3
98	62	0	1.21476108	2.39513158	2.39143461	2.37782891	2.39513158	0.0173026753	0.0311742054	0	100	2.39513	0	0	3
99	62	0	1.2271566	2.39523723	2.3918592	2.38033611	2.39523723	0.0149011233	0.0311742054	0	100	2.39524	0	0	3
100	63	0	1.23955212	2.39526121	2.39222323	2.38255985	2.39526121	0.0127013607	0.0311742054	0	100	2.39526	0	0	3
101	66	0	1.25194764	2.39533993	2.39253494	2.3843372	2.39533993	0.0110027278	0.0311742054	0	100	2.39534	0	0	3
102	67	0	1.26434316	2.39535771	2.39280373	2.38590732	2.39535771	0.00945038465	0.0311742054	0	100	2.39536	0	0	3
103	67	0	1.27673869	2.39541295	2.39303557	2.3870931	2.39541295	0.00831984968	0.0311742054	0	100	2.39541	0	0	3
104	68	0	1.28913421	2.39542178	2.39323871	2.38811702	2.39542178	0.00730476003	0.0311742054	0	100	2.39542	0	0	3
105	68	0	1.30152973	2.39547647	2.39341821	2.38890992	2.39547647	0.00656654993	0.0311742054	0	100	2.39548	0	0	3
106	69	0	1.31392525	2.39547518	2.39357834	2.38957233	2.39547647	0.00590413431	0.0311742054	0	100	2.39548	0	0	3
107	69	0	1.32632077	2.3955028	2.39372298	2.39008827	2.3955028	0.00541452457	0.0311742054	0	100	2.3955	0	0	3
108	70	0	1.33871629	2.39553541	2.39385584	2.39053559	2.39553541	0.00499981977	0.0311742054	0	100	2.39554	0	0	3
109	71	0	1.35111181	2.39554853	2.39397811	2.39088147	2.39554853	0.00466706068	0.0311742054	0	100	2.39555	0	0	3
110	71	0	1.36350733	2.39555494	2.3940921	2.3911968	2.39555494	0.00435813665	0.0311742054	0	100	2.39555	0	0	3
111	72	0	1.37590286	2.3955631	2.39419859	2.39144403	2.3955631	0.00411907003	0.0311742054	0	100	2.39556	0	0	3
112	72	0	1.38829838	2.39555691	2.39429891	2.39168427	2.3955631	0.00387883099	0.0311742054	0	100	2.39556	0	0	3
113	73	0	1.4006939	2.39558684	2.39439409	2.39188642	2.39558684	0.00370042062	0.0311742054	0	100	2.39559	0	0	3
114	73	0	1.41308942	2.39560824	2.39448487	2.39210023	2.39560824	0.00350800653	0.0311742054	0	100	2.39561	0	0	3
115	74	0	1.42548494	2.39563977	2.3945712	2.39228578	2.39563977	0.0033539875	0.0311742054	0	100	2.39564	0	0	3
116	75	0	1.43788046	2.39567469	2.39465385	2.3924712	2.39567469	0.00320348539	0.0311742054	0	100	2.39567	0	0	3
117	75	0	1.45027598	2.39572538	2.39473322	2.39265953	2.39572538	0.0030658564	0.0311742054	0	100	2.39573	0	0	3
118	76	0	1.4626715	2.39583212	2.3948106	2.39282037	2.39583212	0.00301174139	0.0311742054	0	100	2.39583	0	0	3
119	76	0	1.47506702	2.39584078	2.39488427	2.39302591	2.39584078	0.00281486628	0.0311742054	0	100	2.39584	0	0	3
120	77	0	1.48746255	2.39591059	2.39495463	2.39317671	2.39591059	0.00273387867	0.0311742054	0	100	2.39591	0	0	3
121	78	0	1.49985807	2.39592138	2.39502157	2.39334754	2.39592138	0.00257384669	0.0311742054	0	100	2.39592	0	0	3
122	78	0	1.51225359	2.39599572	2.39508616	2.39347387	2.39599572	0.00252184768	0.0311742054	0	100	2.396	0	0	3
123	79	0	1.52464911	2.39599307	2.39514761	2.39362998	2.39599572	0.00236573698	0.0311742054	0	100	2.39599	0	0	3
124	79	0	1.53704463	2.39606945	2.39520711	2.39372678	2.39606945	0.00234266941	0.0311742054	0	100	2.39607	0	0	3
125	80	0	1.54944015	2.39605385	2.39526386	2.39387615	2.39606945	0.0021933017	0.0311742054	0	100	2.39605	0	0	3
126	80	0	1.56183567	2.39606351	2.39531721	2.39397587	2.39606945	0.00209357831	0.0311742054	0	100	2.39606	0	0	3
127	81	0	1.57423119	2.39608034	2.39536854	2.39411327	2.39608034	0.00196707983	0.0311742054	0	100	2.39608	0	0	3
128	82	0	1.58662672	2.39609573	2.39541689	2.3942041	2.39609573	0.00189162891	0.0311742054	0	100	2.3961	0	0	3
129	82	0	1.59902224	2.39610684	2.3954633	2.39433522	2.39610684	0.00177161791	0.0311742054	0	100	2.39611	0	0	3
130	83	0	1.61141776	2.3961283	2.39550704	2.3944162	2.3961283	0.00171209696	0.0311742054	0	100	2.39613	0	0	3
