Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0123955212	132485.129	132485.129	132485.129	132485.129	0	0	0	0	65239.1	0	0	3
2	4	0	0.0247910424	103480.482	117982.805	103480.482	132485.129	14502.3239	0	0	0	6015.64	0	0	3
3	5	0	0.0371865637	104672.753	113546.121	103480.482	132485.129	18939.0082	0	0	0	7906.62	0	0	3
4	6	0	0.0495820849	103890.241	111132.151	103480.482	132485.129	21352.9782	0	0	0	6218.12	0	0	3
5	6	0	0.0619776061	103609.113	109627.543	103480.482	132485.129	22857.5859	0	0	0	5594.62	0	0	3
6	7	0	0.0743731273	103183.472	108553.532	103183.472	132485.129	23931.5978	0	0	0	4518.29	0	0	3
7	8	0	0.0867686485	102793.586	107730.682	102793.586	132485.129	24754.4472	0	0	0	3612.53	0	0	3
8	8	0	0.0991641697	102544.553	107082.416	102544.553	132485.129	25402.7134	0	0	0	2963.35	0	0	3
9	9	0	0.111559691	102330.495	106554.425	102330.495	132485.129	25930.7045	0	0	0	2471.38	0	0	3
10	9	0	0.123955212	102234.289	106122.411	102234.289	132485.129	26362.7182	0	0	0	2218.37	0	0	3
11	10	0	0.136350733	102160.146	105762.205	102160.146	132485.129	26722.9241	0	0	0	2022.09	0	0	3
12	11	0	0.148746255	102141.296	105460.463	102141.296	132485.129	27024.6665	0	0	0	1946.65	0	0	3
13	11	0	0.161141776	102127.073	105204.048	102127.073	132485.129	27281.0812	0	0	0	1884.99	0	0	3
14	12	0	0.173537297	102115.63	104983.447	102115.63	132485.129	27501.6825	0	0	0	1851.43	0	0	3
15	12	0	0.185932818	102104.205	104791.497	102104.205	132485.129	27693.6319	0	0	0	1811.66	0	0	3
16	13	0	0.198328339	102046.674	104619.946	102046.674	132485.129	27865.1833	0	0	0	1680.67	0	0	3
17	14	0	0.210723861	101994.173	104465.489	101994.173	132485.129	28019.6406	0	0	0	1574.7	0	0	3
18	14	0	0.223119382	101935.364	104324.926	101935.364	132485.129	28160.2031	0	0	0	1451.39	0	0	3
19	15	0	0.235514903	101868.229	104195.626	101868.229	132485.129	28289.5029	0	0	0	1321.02	0	0	3
20	15	0	0.247910424	101802.728	104075.982	101802.728	132485.129	28409.1478	0	0	0	1196.15	0	0	3
21	16	0	0.260305946	101724.947	103964.028	101724.947	132485.129	28521.1018	0	0	0	1046.66	0	0	3
22	17	0	0.272701467	101669.785	103859.744	101669.785	132485.129	28625.3856	0	0	0	955.389	0	0	3
23	17	0	0.285096988	101641.817	103763.312	101641.817	132485.129	28721.8172	0	0	0	910.019	0	0	3
24	18	0	0.297492509	101631.412	103674.483	101631.412	132485.129	28810.6463	0	0	0	883.215	0	0	3
25	19	0	0.30988803	101634.915	103592.9	101631.412	132485.129	28892.2291	0	0	0	877.829	0	0	3
26	19	0	0.322283552	101656.15	103518.41	101631.412	132485.129	28966.7195	0	0	0	878.16	0	0	3
27	20	0	0.334679073	101689.026	103450.655	101631.412	132485.129	29034.4744	0	0	0	894.223	0	0	3
28	20	0	0.347074594	101720.907	103388.878	101631.412	132485.129	29096.2512	0	0	0	924.99	0	0	3
29	21	0	0.359470115	101746.301	103332.238	101631.412	132485.129	29152.8917	0	0	0	958.888	0	0	3
30	21	0	0.371865637	101765.532	103280.014	101631.412	132485.129	29205.1153	0	0	0	981.784	0	0	3
31	22	0	0.384261158	101771.13	103231.34	101631.412	132485.129	29253.7889	0	0	0	984.373	0	0	3
32	23	0	0.396656679	101774.562	103185.816	101631.412	132485.129	29299.3133	0	0	0	983.226	0	0	3
33	23	0	0.4090522	101775.744	103143.087	101631.412	132485.129	29342.0427	0	0	0	979.961	0	0	3
34	24	0	0.421447721	101775.609	103102.867	101631.412	132485.129	29382.2627	0	0	0	976.623	0	0	3
35	24	0	0.433843243	101774.724	103064.92	101631.412	132485.129	29420.2096	0	0	0	973.96	0	0	3
36	25	0	0.446238764	101774.444	103029.073	101631.412	132485.129	29456.0562	0	0	0	972.233	0	0	3
37	26	0	0.458634285	101776.254	102995.213	101631.412	132485.129	29489.9161	0	0	0	974.31	0	0	3
38	26	0	0.471029806	101779.613	102963.224	101631.412	132485.129	29521.9056	0	0	0	979.879	0	0	3
39	27	0	0.483425327	101783.635	102932.978	101631.412	132485.129	29552.1515	0	0	0	987.706	0	0	3
40	27	0	0.495820849	101787.919	102904.351	101631.412	132485.129	29580.778	0	0	0	996.026	0	0	3
41	28	0	0.50821637	101791.057	102877.198	101631.412	132485.129	29607.9315	0	0	0	1002.67	0	0	3
42	29	0	0.520611891	101794.262	102128.64	101631.412	104672.753	3041.34017	0	0	0	1009.86	0	0	3
43	29	0	0.533007412	101797.361	102087.588	101631.412	104672.753	3041.34017	0	0	0	1018.92	0	0	3
44	30	0	0.545402934	101799.632	102017.512	101631.412	103890.241	2258.82854	0	0	0	1023.42	0	0	3
45	31	0	0.557798455	101801.236	101966.561	101631.412	103609.113	1977.70056	0	0	0	1028.54	0	0	3
46	31	0	0.570193976	101802.311	101922.493	101631.412	103183.472	1552.05933	0	0	0	1030.24	0	0	3
47	32	0	0.582589497	101802.821	101888.818	101631.412	102793.586	1162.17342	0	0	0	1032.8	0	0	3
48	32	0	0.594985018	101803.134	101864.661	101631.412	102544.553	913.140439	0	0	0	1032.74	0	0	3
49	33	0	0.60738054	101803.361	101846.583	101631.412	102330.495	699.083061	0	0	0	1034.73	0	0	3
50	33	0	0.619776061	101803.483	101833.729	101631.412	102234.289	602.876214	0	0	0	1034.22	0	0	3
51	34	0	0.632171582	101803.66	101823.226	101631.412	102160.146	528.733409	0	0	0	1035.94	0	0	3
52	35	0	0.644567103	101803.797	101814.535	101631.412	102141.296	509.883848	0	0	0	1035.09	0	0	3
53	35	0	0.656962624	101803.865	101806.304	101631.412	102127.073	495.660263	0	0	0	1036.03	0	0	3
54	36	0	0.669358146	101804.026	101798.425	101631.412	102115.63	484.217283	0	0	0	1034.94	0	0	3
55	36	0	0.681753667	101804.308	101790.832	101631.412	102104.205	472.793097	0	0	0	1036.49	0	0	3
56	37	0	0.694149188	101804.646	101783.526	101631.412	102046.674	415.262088	0	0	0	1035.81	0	0	3
57	37	0	0.706544709	101804.995	101777.631	101631.412	101994.173	362.760887	0	0	0	1037.62	0	0	3
58	38	0	0.718940231	101805.382	101773.027	101631.412	101935.364	303.951473	0	0	0	1037.22	0	0	3
59	39	0	0.731335752	101805.728	101769.865	101631.412	101868.229	236.816863	0	0	0	1039.11	0	0	3
60	39	0	0.743731273	101805.935	101768.345	101631.412	101805.935	174.522406	0	0	0	1038.08	0	0	3
61	40	0	0.756126794	101806.184	101768.43	101631.412	101806.184	174.771297	0	0	0	1039.58	0	0	3
62	41	0	0.768522315	101806.536	101770.42	101631.412	101806.536	175.123572	0	0	0	1038.92	0	0	3
63	41	0	0.780917837	101806.891	101773.764	101631.412	101806.891	175.478998	0	0	0	1040.78	0	0	3
64	42	0	0.793313358	101807.215	101777.798	101631.412	101807.215	175.802575	0	0	0	1040.09	0	0	3
65	42	0	0.805708879	101807.521	101782.093	101634.915	101807.521	172.605983	0	0	0	1041.84	0	0	3
66	43	0	0.8181044	101807.731	101786.308	101656.15	101807.731	151.581269	0	0	0	1040.81	0	0	3
67	44	0	0.830499922	101807.937	101790.01	101689.026	101807.937	118.911225	0	0	0	1042.28	0	0	3
68	44	0	0.842895443	101808.112	101792.915	101720.907	101808.112	87.2045812	0	0	0	1041.07	0	0	3
69	45	0	0.855290964	101808.274	101795.046	101746.301	101808.274	61.9726447	0	0	0	1042.39	0	0	3
70	45	0	0.867686485	101808.358	101796.559	101765.532	101808.358	42.8262548	0	0	0	1040.81	0	0	3
71	46	0	0.880082006	101808.457	101797.606	101771.13	101808.457	37.327498	0	0	0	1041.85	0	0	3
72	47	0	0.892477528	101808.57	101798.519	101774.444	101808.57	34.1255747	0	0	0	1040.38	0	0	3
73	47	0	0.904873049	101808.57	101799.349	101774.444	101808.57	34.1262114	0	0	0	1040.9	0	0	3
74	48	0	0.91726857	101808.643	101800.151	101774.444	101808.643	34.1988692	0	0	0	1039.24	0	0	3
75	49	0	0.929664091	101808.723	101800.959	101774.444	101808.723	34.2786639	0	0	0	1039.91	0	0	3
76	49	0	0.942059612	101808.844	101801.791	101774.444	101808.844	34.4000123	0	0	0	1038.43	0	0	3
77	50	0	0.954455134	101808.968	101802.633	101776.254	101808.968	32.7144493	0	0	0	1039.21	0	0	3
78	50	0	0.966850655	101809.145	101803.435	101779.613	101809.145	29.5324417	0	0	0	1038	0	0	3
79	51	0	0.979246176	101809.369	101804.161	101783.635	101809.369	25.7334641	0	0	0	1039.08	0	0	3
80	52	0	0.991641697	101809.571	101804.794	101787.919	101809.571	21.6522403	0	0	0	1038.09	0	0	3
81	52	0	1.00403722	101809.697	101805.325	101791.057	101809.697	18.6396793	91.240205	0	0	1038.86	0	0	3
82	53	0	1.01643274	101809.781	101805.782	101794.262	101809.781	15.5191103	91.240205	0	0	1037.57	0	0	3
83	53	0	1.02882826	101809.897	101806.163	101797.361	101809.897	12.5361629	91.240205	0	0	1038.25	0	0	3
84	54	0	1.04122378	101810.036	101806.472	101799.632	101810.036	10.4035854	91.240205	0	0	1037.23	0	0	3
85	54	0	1.0536193	101810.152	101806.729	101801.236	101810.152	8.91544189	91.240205	0	0	1037.91	0	0	3
86	55	0	1.06601482	101810.274	101806.949	101802.311	101810.274	7.96251368	91.240205	0	0	1036.99	0	0	3
87	56	0	1.07841035	101810.375	101807.146	101802.821	101810.375	7.55372974	91.240205	0	0	1037.63	0	0	3
88	56	0	1.09080587	101810.458	101807.332	101803.134	101810.458	7.32404558	91.240205	0	0	1036.68	0	0	3
89	57	0	1.10320139	101810.533	101807.512	101803.361	101810.533	7.17135421	91.240205	0	0	1037.23	0	0	3
90	57	0	1.11559691	101810.565	101807.688	101803.483	101810.565	7.08117952	91.240205	0	0	1036.13	0	0	3
91	58	0	1.12799243	101810.606	101807.862	101803.66	101810.606	6.94622732	91.240205	0	0	1036.54	0	0	3
92	58	0	1.14038795	101810.66	101808.033	101803.797	101810.66	6.86237012	91.240205	0	0	1035.59	0	0	3
93	59	0	1.15278347	101810.691	101808.201	101803.865	101810.691	6.82623506	91.240205	0	0	1035.87	0	0	3
94	60	0	1.16517899	101810.688	101808.367	101804.026	101810.691	6.66436528	91.240205	0	0	1034.7	0	0	3
95	60	0	1.17757452	101810.684	101808.529	101804.308	101810.691	6.38272328	91.240205	0	0	1034.77	0	0	3
96	61	0	1.18997004	101810.708	101808.686	101804.646	101810.708	6.06168869	91.240205	0	0	1033.68	0	0	3
97	61	0	1.20236556	101810.763	101808.835	101804.995	101810.763	5.76708192	91.240205	0	0	1033.89	0	0	3
98	62	0	1.21476108	101810.844	101808.977	101805.382	101810.844	5.46145464	91.240205	0	0	1033.13	0	0	3
99	62	0	1.2271566	101810.946	101809.113	101805.728	101810.946	5.21766495	91.240205	0	0	1033.63	0	0	3
100	63	0	1.23955212	101811.075	101809.243	101805.935	101811.075	5.13988923	91.240205	0	0	1033.19	0	0	3
101	66	0	1.25194764	101811.18	101809.371	101806.184	101811.18	4.99603356	91.240205	0	0	1033.81	0	0	3
102	67	0	1.26434316	101811.201	101809.494	101806.536	101811.201	4.66502352	91.240205	0	0	1033.13	0	0	3
